Ligand,Binding Affinity,rmsd/ub, rmsd/lb
Prep_1JTV_24889392_uff_E=1189.44,-10.4,0,0
Prep_1JTV_10195250_uff_E=596.22,-9.3,0,0
Prep_1JTV_65998_uff_E=514.78,-9.1,0,0
Prep_1JTV_15951529_uff_E=873.89,-9,0,0
Prep_1JTV_100334_uff_E=651.31,-8.2,0,0
Prep_1JTV_91716_uff_E=491.71,-8.1,0,0
Prep_1JTV_11618368_uff_E=782.09,-8,0,0
Prep_1JTV_6013_uff_E=473.51,-7.8,0,0
Prep_1JTV_3639_uff_E=948.06,-6.7,0,0
Prep_1JTV_16954_uff_E=574.98,-6.6,0,0
Prep_1JTV_39040_uff_E=671.04,-6.5,0,0
Prep_1JTV_8708_uff_E=457.17,-5.9,0,0
Prep_1JTV_697993_uff_E=312.52,-5.3,0,0
Prep_1JTV_24889392_uff_E=1189.44,-9.5,2.934,1.909
Prep_1JTV_10195250_uff_E=596.22,-9.1,2.385,1.609
Prep_1JTV_15951529_uff_E=873.89,-8.9,2.465,1.899
Prep_1JTV_65998_uff_E=514.78,-8.9,1.975,1.511
Prep_1JTV_100334_uff_E=651.31,-8,9.015,1.965
Prep_1JTV_91716_uff_E=491.71,-8,1.747,1.282
Prep_1JTV_11618368_uff_E=782.09,-7.6,9.738,5.956
Prep_1JTV_6013_uff_E=473.51,-7.6,6.626,1.449
Prep_1JTV_3639_uff_E=948.06,-6.7,3.474,3.047
Prep_1JTV_39040_uff_E=671.04,-6.4,3.106,2.169
Prep_1JTV_16954_uff_E=574.98,-6.4,3.45,1.975
Prep_1JTV_8708_uff_E=457.17,-5.7,8.693,3.454
Prep_1JTV_697993_uff_E=312.52,-5,3.401,2.547
Prep_1JTV_24889392_uff_E=1189.44,-9.4,15.159,3.037
Prep_1JTV_10195250_uff_E=596.22,-9,12.635,5.234
Prep_1JTV_15951529_uff_E=873.89,-8.7,9.755,3.054
Prep_1JTV_65998_uff_E=514.78,-8.7,10.533,4.936
Prep_1JTV_91716_uff_E=491.71,-7.8,7.839,1.745
Prep_1JTV_11618368_uff_E=782.09,-7.5,9.152,5.488
Prep_1JTV_6013_uff_E=473.51,-7.5,7.284,2.427
Prep_1JTV_100334_uff_E=651.31,-7.2,9.58,6.062
Prep_1JTV_3639_uff_E=948.06,-6.6,6.115,3.356
Prep_1JTV_16954_uff_E=574.98,-6.4,7.875,2.074
Prep_1JTV_39040_uff_E=671.04,-6.2,2.809,1.482
Prep_1JTV_8708_uff_E=457.17,-5.7,7.583,5.523
