Ligand,Binding Affinity,rmsd/ub, rmsd/lb
Prep_2AM9_6013_uff_E=473.51,-10.9,0.0,0.0
Prep_2AM9_65998_uff_E=514.78,-8.4,0.0,0.0
Prep_2AM9_100334_uff_E=651.31,-8.0,0.0,0.0
Prep_2AM9_91716_uff_E=491.71,-7.9,0.0,0.0
Prep_2AM9_11618368_uff_E=782.09,-7.6,0.0,0.0
Prep_2AM9_16954_uff_E=574.98,-7.0,0.0,0.0
Prep_2AM9_39040_uff_E=671.04,-6.9,0.0,0.0
Prep_2AM9_3639_uff_E=948.06,-6.9,0.0,0.0
Prep_2AM9_8708_uff_E=457.17,-6.7,0.0,0.0
Prep_2AM9_697993_uff_E=312.52,-5.7,0.0,0.0
Prep_2AM9_10195250_uff_E=596.22,-5.5,0.0,0.0
Prep_2AM9_15951529_uff_E=873.89,-4.5,0.0,0.0
Prep_2AM9_24889392_uff_E=1189.44,-0.5,0.0,0.0
Prep_2AM9_6013_uff_E=473.51,-9.3,2.969,1.589
Prep_2AM9_65998_uff_E=514.78,-7.8,12.693,9.748
Prep_2AM9_91716_uff_E=491.71,-7.7,2.018,1.418
Prep_2AM9_100334_uff_E=651.31,-7.4,9.065,2.181
Prep_2AM9_39040_uff_E=671.04,-6.8,2.618,1.469
Prep_2AM9_16954_uff_E=574.98,-6.8,7.613,1.749
Prep_2AM9_3639_uff_E=948.06,-6.6,6.015,2.997
Prep_2AM9_8708_uff_E=457.17,-6.4,2.406,1.428
Prep_2AM9_697993_uff_E=312.52,-5.6,10.325,9.331
Prep_2AM9_11618368_uff_E=782.09,-5.5,2.233,1.709
Prep_2AM9_10195250_uff_E=596.22,-4.0,2.998,1.908
Prep_2AM9_24889392_uff_E=1189.44,0.4,14.586,4.403
Prep_2AM9_6013_uff_E=473.51,-9.0,6.531,1.207
Prep_2AM9_91716_uff_E=491.71,-7.6,2.437,1.834
Prep_2AM9_65998_uff_E=514.78,-7.4,12.595,9.653
Prep_2AM9_16954_uff_E=574.98,-6.8,14.395,11.237
Prep_2AM9_39040_uff_E=671.04,-6.7,3.398,2.096
Prep_2AM9_3639_uff_E=948.06,-6.3,5.316,2.386
Prep_2AM9_8708_uff_E=457.17,-6.3,6.893,2.125
Prep_2AM9_100334_uff_E=651.31,-5.5,9.043,2.314
Prep_2AM9_11618368_uff_E=782.09,-5.5,8.574,5.001
Prep_2AM9_697993_uff_E=312.52,-5.4,12.722,11.673
Prep_2AM9_10195250_uff_E=596.22,-3.8,4.196,2.917
Prep_2AM9_24889392_uff_E=1189.44,0.7,14.245,2.531
Prep_2AM9_6013_uff_E=473.51,-8.2,6.589,1.134
Prep_2AM9_91716_uff_E=491.71,-7.6,8.321,1.972
Prep_2AM9_39040_uff_E=671.04,-6.7,4.158,2.562
Prep_2AM9_16954_uff_E=574.98,-6.5,14.267,11.39
Prep_2AM9_8708_uff_E=457.17,-6.3,2.386,1.113
Prep_2AM9_65998_uff_E=514.78,-6.2,4.476,2.947
Prep_2AM9_3639_uff_E=948.06,-5.7,5.933,2.554
Prep_2AM9_100334_uff_E=651.31,-5.4,2.15,1.266
Prep_2AM9_697993_uff_E=312.52,-5.3,10.901,9.821
Prep_2AM9_10195250_uff_E=596.22,-3.6,2.206,1.581
Prep_2AM9_24889392_uff_E=1189.44,1.0,14.681,2.44
Prep_2AM9_6013_uff_E=473.51,-8.0,6.233,1.494
Prep_2AM9_91716_uff_E=491.71,-7.6,8.124,1.829
Prep_2AM9_39040_uff_E=671.04,-6.7,2.559,1.355
