Ligand,Binding Affinity,rmsd/ub, rmsd/lb
Prep_4NFE_65998_uff_E=514.78,-8.2,0,0
Prep_4NFE_10195250_uff_E=596.22,-7.5,0,0
Prep_4NFE_91716_uff_E=491.71,-7.2,0,0
Prep_4NFE_15951529_uff_E=873.89,-7.1,0,0
Prep_4NFE_100334_uff_E=651.31,-6.8,0,0
Prep_4NFE_11618368_uff_E=782.09,-6.5,0,0
Prep_4NFE_3639_uff_E=948.06,-6,0,0
Prep_4NFE_16954_uff_E=574.98,-5.5,0,0
Prep_4NFE_2332_uff_E=77.84,-5.4,0,0
Prep_4NFE_697993_uff_E=312.52,-4.9,0,0
Prep_4NFE_8708_uff_E=457.17,-4.9,0,0
Prep_4NFE_39040_uff_E=671.04,-4.7,0,0
Prep_4NFE_24889392_uff_E=1189.44,-2.6,0,0
Prep_4NFE_65998_uff_E=514.78,-7.6,4.022,1.805
Prep_4NFE_91716_uff_E=491.71,-7.2,1.784,1.301
Prep_4NFE_10195250_uff_E=596.22,-7.1,10.328,3.93
Prep_4NFE_15951529_uff_E=873.89,-6.7,8.075,4.784
Prep_4NFE_100334_uff_E=651.31,-6.7,7.66,4.126
Prep_4NFE_11618368_uff_E=782.09,-6.3,4.275,1.448
Prep_4NFE_3639_uff_E=948.06,-5.9,5.451,4.803
Prep_4NFE_2332_uff_E=77.84,-5.4,1.957,0.134
Prep_4NFE_16954_uff_E=574.98,-5.4,9.634,3.619
Prep_4NFE_39040_uff_E=671.04,-4.6,13.104,10.736
Prep_4NFE_8708_uff_E=457.17,-4.5,3.381,2.185
Prep_4NFE_697993_uff_E=312.52,-4.3,9.706,8.226
Prep_4NFE_65998_uff_E=514.78,-7.4,10.095,5.347
Prep_4NFE_10195250_uff_E=596.22,-7.1,9.313,3.89
Prep_4NFE_91716_uff_E=491.71,-7,8.142,2.032
Prep_4NFE_15951529_uff_E=873.89,-6.6,6.083,4.844
Prep_4NFE_100334_uff_E=651.31,-6.5,7.544,4.319
Prep_4NFE_11618368_uff_E=782.09,-6.2,9.335,3.563
Prep_4NFE_3639_uff_E=948.06,-5.7,4.804,3.447
Prep_4NFE_16954_uff_E=574.98,-5.4,2.034,1.345
