Ligand,Binding Affinity,rmsd/ub, rmsd/lb
Prep_6V8T_91716_uff_E=491.71,-7.4,0.0,0.0
Prep_6V8T_65998_uff_E=514.78,-7.4,0.0,0.0
Prep_6V8T_11618368_uff_E=782.09,-7.4,0.0,0.0
Prep_6V8T_118574930_uff_E=733.71,-6.9,0.0,0.0
Prep_6V8T_39040_uff_E=671.04,-6.8,0.0,0.0
Prep_6V8T_8708_uff_E=457.17,-6.3,0.0,0.0
Prep_6V8T_3639_uff_E=948.06,-6.3,0.0,0.0
Prep_6V8T_10195250_uff_E=596.22,-6.2,0.0,0.0
Prep_6V8T_100334_uff_E=651.31,-6.0,0.0,0.0
Prep_6V8T_697993_uff_E=312.52,-5.8,0.0,0.0
Prep_6V8T_16954_uff_E=574.98,-5.8,0.0,0.0
Prep_6V8T_15951529_uff_E=873.89,-3.1,0.0,0.0
Prep_6V8T_24889392_uff_E=1189.44,1.2,0.0,0.0
Prep_6V8T_91716_uff_E=491.71,-7.4,7.978,1.871
Prep_6V8T_65998_uff_E=514.78,-7.0,4.356,3.465
Prep_6V8T_11618368_uff_E=782.09,-6.6,4.322,1.554
Prep_6V8T_39040_uff_E=671.04,-6.6,2.716,1.513
Prep_6V8T_118574930_uff_E=733.71,-6.5,22.833,19.794
Prep_6V8T_8708_uff_E=457.17,-6.2,2.424,1.553
Prep_6V8T_100334_uff_E=651.31,-5.9,22.805,20.484
Prep_6V8T_10195250_uff_E=596.22,-5.8,2.224,1.563
Prep_6V8T_3639_uff_E=948.06,-5.7,3.074,2.562
Prep_6V8T_697993_uff_E=312.52,-5.7,2.168,1.47
Prep_6V8T_16954_uff_E=574.98,-5.2,22.335,19.651
Prep_6V8T_15951529_uff_E=873.89,-1.6,22.806,19.654
Prep_6V8T_24889392_uff_E=1189.44,1.5,2.322,1.624
Prep_6V8T_91716_uff_E=491.71,-7.2,14.473,11.736
Prep_6V8T_65998_uff_E=514.78,-6.7,3.935,2.929
Prep_6V8T_39040_uff_E=671.04,-6.6,4.717,2.31
Prep_6V8T_118574930_uff_E=733.71,-6.4,5.483,2.413
Prep_6V8T_8708_uff_E=457.17,-6.0,7.652,2.213
Prep_6V8T_697993_uff_E=312.52,-5.7,4.03,1.996
Prep_6V8T_10195250_uff_E=596.22,-5.6,24.446,22.093
Prep_6V8T_100334_uff_E=651.31,-5.6,22.104,20.283
Prep_6V8T_3639_uff_E=948.06,-5.6,3.324,2.776
Prep_6V8T_16954_uff_E=574.98,-5.2,21.959,19.802
